2025-10-29 02:32:06,076 | DEBUG | Running WriteCheck[tcp://172.18.0.1:49490] | org.apache.activemq.transport.AbstractInactivityMonitor | ActiveMQ InactivityMonitor Worker
2025-10-29 02:32:06,107 | DEBUG | WriteChecker 10000 ms elapsed since last write check. | org.apache.activemq.transport.AbstractInactivityMonitor | ActiveMQ InactivityMonitor WriteCheckTimer
2025-10-29 02:32:06,107 | DEBUG | Running WriteCheck[tcp://172.18.0.1:49496] | org.apache.activemq.transport.AbstractInactivityMonitor | ActiveMQ InactivityMonitor Worker
2025-10-29 02:32:06,820 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2025-10-29 02:32:06,834 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2025-10-29 02:32:09,476 | DEBUG | queue://Consumer.A.VirtualTopic.Analysis expiring messages .. | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
2025-10-29 02:32:09,477 | DEBUG | Consumer.A.VirtualTopic.Analysis toPageIn: 0, Inflight: 0, pagedInMessages.size 0, enqueueCount: 0, dequeueCount: 0 | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
2025-10-29 02:32:09,477 | DEBUG | queue://Consumer.A.VirtualTopic.Analysis expiring messages done. | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
2025-10-29 02:32:09,533 | DEBUG | queue://queue.analysis expiring messages .. | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
2025-10-29 02:32:09,534 | DEBUG | queue.analysis toPageIn: 0, Inflight: 0, pagedInMessages.size 0, enqueueCount: 0, dequeueCount: 0 | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
2025-10-29 02:32:09,534 | DEBUG | queue://queue.analysis expiring messages done. | org.apache.activemq.broker.region.Queue | ActiveMQ Broker[localhost] Scheduler
